anio,Clave_del_incendio,latitud,longitud,Clave_Municipio,Estado,Municipio,CVE_ENT,CVE_MUN,CVEGEO,Region,Predio,Causa,Causa_especifica,Fecha_Inicio,Fecha_Termino,Duracion_dias,Tipo_de_incendio,Tipo_Vegetacion,Regimen_de_fuego,Tipo_impacto,Arbolado_Adulto,Renuevo,Arbustivo,Herbaceo,Hojarasca,Total_hectareas,Tamano,Deteccion,Llegada,Duracion,Entidad,fn_Clave_del_incendio,fn_Predio,fn_Causa,fn_Causa_especifica,fn_Duracion_dias,fn_Tipo_de_incendio,fn_Tipo_Vegetacion,fn_Tipo_impacto,fn_Tamano
2022,22-01-0016,22.26193333,-102.3355861,7,Aguascalientes,Rincón de Romos,1,7,701,Occidente,ESCALERAS,Desconocidas,Desconocidas,3/7/2022,3/7/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,6.77367,38.38413,0,45.1578,21 a 50 Hectáreas,2400,2700,13800,Aguascalientes,,,,,,,,,
2022,22-01-0017,21.82127778,-102.2528889,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,COBOS,Actividades ilícitas,Vandalismo,3/11/2022,3/11/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,20.6317,0,15.47376,15.47376,0,51.57922,51 a 100 Hectáreas,540,1440,13380,Aguascalientes,,,,,,,,,
2022,22-01-0018,22.15805556,-102.5061111,8,Aguascalientes,San José de Gracia,1,8,801,Occidente,RANCHO SAN MIGUEL,Actividades agrícolas,Quema para preparación de siembra,3/12/2022,3/12/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0,39.1853,0,39.1853,21 a 50 Hectáreas,600,3000,18420,Aguascalientes,,,,,,,,,
2022,22-01-0019,22.09431111,-102.3423611,6,Aguascalientes,Pabellón de Arteaga,1,6,601,Occidente,GARABATO,Actividades ilícitas,Vandalismo,3/15/2022,3/15/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,0.97,5.4968,0,6.4668,6 a 10 Hectáreas,600,1800,10800,Aguascalientes,,,,,,,,,
2022,22-01-0020,22.23126389,-102.338525,7,Aguascalientes,Rincón de Romos,1,7,701,Occidente,EJIDO MORELOS,Actividades ilícitas,Vandalismo,3/15/2022,3/15/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,3.4667,19.6448,0,23.1115,21 a 50 Hectáreas,300,1200,14400,Aguascalientes,,,,,,,,,
2022,22-01-0021,22.22484444,-102.3345639,7,Aguascalientes,Rincón de Romos,1,7,701,Occidente,EL COLOMO,Actividades ilícitas,Vandalismo,3/18/2022,3/18/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,3.3135,18.7769,0,22.0904,21 a 50 Hectáreas,1800,3600,23400,Aguascalientes,,,,,,,,,
2022,22-01-0022,22.01165,-102.3525583,5,Aguascalientes,Jesús María,1,5,501,Occidente,CHICHIMECO,Actividades ilícitas,Vandalismo,3/18/2022,3/18/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Moderado,0.107268,0,1.501752,9.11778,0,10.7268,11 a 20 Hectáreas,4320,5220,23820,Aguascalientes,,,,,,,,,
2022,22-01-0023,21.83692222,-102.2595917,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,COBOS - EL COPETILLO,Actividades ilícitas,Vandalismo,3/21/2022,3/21/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,17.79,53.37,0,71.16,51 a 100 Hectáreas,1800,2400,23400,Aguascalientes,,,,,,,,,
2022,22-01-0024,21.85271389,-102.2322806,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,LOMA DEL MALACATE,Actividades ilícitas,Vandalismo,3/21/2022,3/21/2022,1 Día,Superficial,Matorral Crasicaule,Otros,Impacto Mínimo,0,0,10.395,24.255,0,34.65,21 a 50 Hectáreas,1800,2400,23400,Aguascalientes,,,,,,,,,
2022,22-01-0025,21.89748611,-102.1664833,1,Aguascalientes,Aguascalientes,1,1,101,Occidente,EL TRIGO,Desconocidas,Desconocidas,3/21/2022,3/21/2022,1 Día,Superficial,Pastizal Natural,Adaptado,Impacto Mínimo,0,0,0,4.1391,0,4.1391,0 a 5 Hectáreas,900,1500,10800,Aguascalientes,,,,,,,,,
